Period Ending:,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,Sales General and Admin,Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income,Net Income Applicable to Common Shareholders,Symbol
2022-09-24,394328000,223546000.0,170782000.0,26251000.0,25094000.0,0.0,0.0,119437000.0,334000.0,119103000,0.0,119103000,19300000,0.0,0.0,99803000,99803000,AAPL
2021-09-25,365817000,212981000.0,152836000.0,21914000.0,21973000.0,0.0,0.0,108949000.0,258000.0,109207000,0.0,109207000,14527000,0.0,0.0,94680000,94680000,AAPL
2020-09-26,274515000,169559000.0,104956000.0,18752000.0,19916000.0,0.0,0.0,66288000.0,803000.0,67091000,0.0,67091000,9680000,0.0,0.0,57411000,57411000,AAPL
2019-09-28,260174000,161782000.0,98392000.0,16217000.0,18245000.0,0.0,0.0,63930000.0,1807000.0,65737000,0.0,65737000,10481000,0.0,0.0,55256000,55256000,AAPL
2023-06-30,211915000,65863000.0,146052000.0,27195000.0,30334000.0,0.0,0.0,88523000.0,788000.0,89311000,0.0,89311000,16950000,0.0,0.0,72361000,72361000,MSFT
2022-06-30,198270000,62650000.0,135620000.0,24512000.0,27725000.0,0.0,0.0,83383000.0,333000.0,83716000,0.0,83716000,10978000,0.0,0.0,72738000,72738000,MSFT
2021-06-30,168088000,52232000.0,115856000.0,20716000.0,25224000.0,0.0,0.0,69916000.0,1186000.0,71102000,0.0,71102000,9831000,0.0,0.0,61271000,61271000,MSFT
2020-06-30,143015000,46078000.0,96937000.0,19269000.0,24709000.0,0.0,0.0,52959000.0,77000.0,53036000,0.0,53036000,8755000,0.0,0.0,44281000,44281000,MSFT
2022-12-31,282836000,126203000.0,156633000.0,39500000.0,42291000.0,0.0,0.0,74842000.0,3514000.0,71328000,0.0,71328000,11356000,0.0,0.0,59972000,59972000,GOOG
2021-12-31,257637000,110939000.0,146698000.0,31562000.0,36422000.0,0.0,0.0,78714000.0,12020000.0,90734000,0.0,90734000,14701000,0.0,0.0,76033000,76033000,GOOG
2020-12-31,182527000,84732000.0,97795000.0,27573000.0,28998000.0,0.0,0.0,41224000.0,6858000.0,48082000,0.0,48082000,7813000,0.0,0.0,40269000,40269000,GOOG
2019-12-31,161857000,71896000.0,89961000.0,26018000.0,29712000.0,0.0,0.0,34231000.0,5394000.0,39625000,0.0,39625000,5282000,0.0,0.0,34343000,34343000,GOOG
2023-07-29,56998000,21245000.0,35753000.0,7551000.0,12358000.0,531000.0,282000.0,15031000.0,714000.0,15745000,427000.0,15318000,2705000,0.0,0.0,12613000,12613000,CSCO
2022-07-30,51557000,19309000.0,32248000.0,6774000.0,11186000.0,6000.0,313000.0,13969000.0,868000.0,14837000,360000.0,14477000,2665000,0.0,0.0,11812000,11812000,CSCO
2021-07-31,49818000,17924000.0,31894000.0,6549000.0,11411000.0,886000.0,215000.0,12833000.0,863000.0,13696000,434000.0,13262000,2671000,0.0,0.0,10591000,10591000,CSCO
2020-07-25,49301000,17618000.0,31683000.0,6347000.0,11094000.0,481000.0,141000.0,13620000.0,935000.0,14555000,585000.0,13970000,2756000,0.0,0.0,11214000,11214000,CSCO
2022-12-31,121427000,38213000.0,83214000.0,0.0,46769000.0,8583000.0,13821000.0,14041000.0,861000.0,13180000,3896000.0,9284000,4359000,0.0,445000.0,5370000,5370000,CMCSA
2021-12-31,116385000,38450000.0,77935000.0,0.0,43314000.0,0.0,13804000.0,20817000.0,2557000.0,23374000,4281000.0,19093000,5259000,0.0,325000.0,14159000,14159000,CMCSA
2020-12-31,103564000,33121000.0,70443000.0,0.0,39850000.0,0.0,13100000.0,17493000.0,1160000.0,18653000,4588000.0,14065000,3364000,0.0,167000.0,10534000,10534000,CMCSA
2019-12-31,108942000,34440000.0,74502000.0,0.0,40424000.0,0.0,12953000.0,21125000.0,438000.0,21563000,4567000.0,16996000,3673000,0.0,266000.0,13057000,13057000,CMCSA
2022-12-31,120741000,50848000.0,69893000.0,0.0,28961000.0,27498000.0,18021000.0,4587000.0,5810000.0,3014000,6108000.0,3094000,3780000,1791000.0,1469000.0,8524000,8727000,TBC
2021-12-31,134038000,60407000.0,73631000.0,0.0,29669000.0,213000.0,17852000.0,25897000.0,9387000.0,35887000,6716000.0,29171000,5395000,603000.0,1398000.0,20081000,19874000,TBC
2020-12-31,143050000,65651000.0,77399000.0,0.0,30817000.0,15687000.0,22523000.0,8372000.0,1088000.0,7373000,7727000.0,354000,1168000,89000.0,1355000.0,5176000,5369000,TBC
2019-12-31,181193000,84141000.0,97052000.0,0.0,39422000.0,1458000.0,28217000.0,27955000.0,1071000.0,26890000,8422000.0,18468000,3493000,6000.0,1072000.0,13903000,13900000,TBC
2022-12-31,28541400,6629800.0,21911600.0,7190800.0,6440400.0,1153100.0,0.0,7127300.0,320900.0,6806400,0.0,6806400,561600,0.0,0.0,6244800,6244800,LLY
2021-12-31,28318400,7312800.0,21005600.0,6930700.0,6431600.0,1286200.0,0.0,6357100.0,201600.0,6155500,0.0,6155500,573800,0.0,0.0,5581700,5581700,LLY
2020-12-31,24539800,5483300.0,19056500.0,5976300.0,6121200.0,901000.0,0.0,6058000.0,1171900.0,7229900,0.0,7229900,1036200,0.0,0.0,6193700,6193700,LLY
2019-12-31,22319500,4721200.0,17598300.0,5595000.0,6213800.0,815200.0,0.0,4974300.0,291600.0,5265900,0.0,5265900,628000,0.0,0.0,8318400,8318400,LLY
2022-12-31,324162000,210842000.0,113320000.0,0.0,0.0,0.0,84885000.0,28435000.0,0.0,28435000,2092000.0,26343000,5704000,0.0,519000.0,20120000,20120000,UNH
2021-12-31,287597000,186911000.0,100686000.0,0.0,0.0,0.0,76716000.0,23970000.0,0.0,23970000,1660000.0,22310000,4578000,0.0,447000.0,17285000,17285000,UNH
2020-12-31,257141000,159396000.0,97745000.0,0.0,0.0,0.0,75340000.0,22405000.0,0.0,22405000,1663000.0,20742000,4973000,0.0,366000.0,15403000,15403000,UNH
2019-12-31,242155000,156440000.0,85715000.0,0.0,0.0,0.0,66030000.0,19685000.0,0.0,19685000,1704000.0,17981000,3742000,0.0,400000.0,13839000,13839000,UNH
2022-12-31,25396000,4083000.0,21313000.0,3451000.0,7126000.0,0.0,0.0,10736000.0,34000.0,10771000,859000.0,9912000,1943000,0.0,0.0,7969000,7969000,NVO
2021-12-31,21528000,3617000.0,17911000.0,2717000.0,6227000.0,0.0,0.0,8967000.0,441000.0,9408000,375000.0,9033000,1731000,0.0,0.0,7302000,7302000,NVO
2020-12-31,20867000,3441000.0,17426000.0,2542000.0,5987000.0,0.0,0.0,8897000.0,268000.0,9164000,431000.0,8733000,1807000,0.0,0.0,6927000,6927000,NVO
2017-12-31,18014000,2844000.0,15171000.0,2260000.0,5013000.0,0.0,0.0,7897000.0,201000.0,8098000,247000.0,7851000,1702000,0.0,0.0,6150000,6150000,NVO
2022-12-31,86423000,0.0,0.0,0.0,41704000.0,0.0,7465000.0,0.0,0.0,39977000,0.0,17528000,858000,2723000.0,0.0,16670000,16670000,HSBC
2021-12-31,73639000,0.0,0.0,0.0,44722000.0,587000.0,2771000.0,0.0,0.0,28605000,0.0,18906000,4213000,3046000.0,0.0,14693000,14693000,HSBC
2020-12-31,77252000,0.0,0.0,0.0,41836000.0,41000.0,14017000.0,0.0,0.0,22955000,0.0,8777000,2678000,1597000.0,0.0,6099000,6099000,HSBC
2019-12-31,95257000,0.0,0.0,0.0,46756000.0,7349000.0,5926000.0,0.0,0.0,37580000,0.0,13347000,4639000,2354000.0,0.0,8708000,8708000,HSBC
2022-12-31,122306000,0.0,122306000.0,0.0,76140000.0,0.0,6389000.0,46166000.0,0.0,72263000,26097000.0,46166000,8490000,0.0,0.0,37676000,35892000,JPM
2021-12-31,130905000,0.0,130905000.0,0.0,71343000.0,0.0,9256000.0,59562000.0,0.0,65115000,5553000.0,59562000,11228000,0.0,0.0,48334000,46503000,JPM
2020-12-31,102471000,0.0,102471000.0,0.0,66656000.0,0.0,17480000.0,35815000.0,0.0,45775000,9960000.0,35815000,6684000,0.0,0.0,29131000,27410000,JPM
2019-12-31,110135000,0.0,110135000.0,0.0,65269000.0,0.0,5585000.0,44866000.0,0.0,71661000,26795000.0,44866000,8435000,0.0,0.0,36431000,34642000,JPM
2022-12-31,53388000,0.0,53388000.0,0.0,39299000.0,0.0,280000.0,14089000.0,0.0,26357000,12268000.0,14089000,2910000,0.0,150000.0,11029000,10540000,MS
2021-12-31,59751000,0.0,59751000.0,0.0,40083000.0,0.0,4000.0,19668000.0,0.0,21034000,1366000.0,19668000,4548000,0.0,86000.0,15034000,14566000,MS
